Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
16/11/2021,24,30.6,26.6,83,45,0,6,120,2
17/11/2021,23.8,32.4,28.1,76,0.4,2.8,6,30,3
18/11/2021,24.4,32,28,78,6,7.3,6,10,2
19/11/2021,24.3,31.4,27.8,78,,7.2,6,330,3
20/11/2021,24.2,30,27.5,84,2.6,3.7,4,130,1
21/11/2021,25.2,31.5,28.8,77,0,0,5,360,2
22/11/2021,25.8,31,27.6,84,0.7,5.3,7,320,3
23/11/2021,24.4,31,27.8,83,3.3,4.3,5,20,2
24/11/2021,24.8,32.4,27.8,78,2,3.7,5,330,2
25/11/2021,24.8,31.3,27.6,85,0.5,2.6,5,130,2
26/11/2021,24.8,31.2,27,84,1.2,4.6,6,80,2
27/11/2021,24.8,30.7,27,84,11.2,1.5,3,10,1
28/11/2021,24.8,28.3,26.5,87,1.5,4.2,2,100,1
29/11/2021,24.6,31.6,27.6,76,0,0,6,340,2
30/11/2021,24.8,31,28.3,72,12.2,8,4,20,2
01/12/2021,23.8,32.3,27.7,77,4.5,7.5,5,10,2
02/12/2021,24,32,28.2,76,,7,6,30,2
03/12/2021,25.6,30.9,28.2,81,0.8,7,4,330,2
04/12/2021,25.3,31.2,27.6,84,7.4,2,6,310,2
05/12/2021,25,30.5,27,77,2.5,1,8,340,2
06/12/2021,24.7,30.9,27.1,86,1.5,0,7,330,3
07/12/2021,24.4,32,27.8,78,5.8,0.4,7,320,4
08/12/2021,,32.8,28.4,78,0.4,2.8,8,330,3
09/12/2021,25.6,31.5,28.6,77,0,5.6,7,330,2
10/12/2021,25.6,31.6,27.6,80,,6.3,7,320,2
11/12/2021,25.3,31.4,27.7,81,2.3,2.1,6,340,2
12/12/2021,25.5,31.9,29.1,74,0.2,3,5,35,3
13/12/2021,25.4,31.3,28.6,76,,7.3,4,10,2
14/12/2021,25.7,31.5,28.5,75,25.7,8,5,10,2
15/12/2021,25.6,31.6,27.7,83,0.6,4.8,6,360,2
16/12/2021,24.8,32.2,27.6,82,5.5,4.7,6,330,2
17/12/2021,24.5,32.2,28.4,77,3.5,3.4,6,340,2
18/12/2021,24.8,32.3,28.5,80,,7.6,5,350,2
19/12/2021,24.7,32.6,28.8,78,0.5,3.3,6,330,3
20/12/2021,25.6,31.2,27.7,84,1.1,9.9,5,50,2
21/12/2021,25.4,29.4,26.1,90,5.2,0,6,120,2
